iso3,empire,end,settler
USA,GBR,1783.0,True
HTI,FRA,1804.0,False
PRY,ESP,1811.0,False
CHL,ESP,1818.0,False
ARG,ESP,1819.0,False
COL,ESP,1820.0,False
NIC,ESP,1821.0,False
MEX,ESP,1821.0,False
PAN,ESP,1821.0,False
HND,ESP,1821.0,False
GTM,ESP,1821.0,False
SLV,ESP,1821.0,False
CRI,ESP,1821.0,False
VEN,ESP,1821.0,False
BRA,PRT,1822.0,False
PER,ESP,1824.0,False
BOL,ESP,1825.0,False
URY,ESP,1828.0,False
ECU,ESP,1829.0,False
DOM,ESP,1865.0,False
PHL,ESP,1898.0,False
FSM,ESP,1899.0,False
CUB,ESP,1899.0,False
MHL,DEU,1914.0,False
PLW,DEU,1914.0,False
AUS,GBR,1919.0,True
CAN,GBR,1919.0,True
NAM,GBR,1920.0,False
ZAF,GBR,1920.0,False
WSM,GBR,1920.0,False
NZL,GBR,1920.0,True
PNG,GBR,1920.0,False
IRQ,GBR,1932.0,False
EGY,GBR,1935.0,False
SYR,FRA,1946.0,False
LBN,FRA,1946.0,False
JOR,GBR,1946.0,False
PAK,GBR,1947.0,False
BGD,GBR,1947.0,False
IND,GBR,1947.0,False
ISR,GBR,1948.0,False
LKA,GBR,1948.0,False
MMR,GBR,1948.0,False
BTN,GBR,1949.0,False
ERI,ITA,1941.0,False
LBY,ITA,1942.0,False
KHM,FRA,1953.0,False
LAO,FRA,1954.0,False
VNM,FRA,1954.0,False
TUN,FRA,1956.0,False
SDN,GBR,1956.0,False
GHA,GBR,1957.0,False
GIN,FRA,1958.0,False
NER,FRA,1960.0,False
SEN,FRA,1960.0,False
TGO,FRA,1960.0,False
MRT,FRA,1960.0,False
MLI,FRA,1960.0,False
COG,FRA,1960.0,False
GAB,FRA,1960.0,False
MDG,FRA,1960.0,False
NGA,GBR,1960.0,False
CYP,GBR,1960.0,False
SOM,GBR,1960.0,False
BFA,FRA,1960.0,False
BEN,FRA,1960.0,False
CAF,FRA,1960.0,False
TCD,FRA,1960.0,False
CIV,FRA,1960.0,False
COD,BEL,1960.0,False
CMR,FRA,1960.0,False
KWT,GBR,1961.0,False
SLE,GBR,1961.0,False
RWA,BEL,1962.0,False
JAM,GBR,1962.0,False
IDN,NLD,1962.0,False
TTO,GBR,1962.0,False
BDI,BEL,1962.0,False
DZA,FRA,1962.0,False
UGA,GBR,1962.0,False
TZA,GBR,1963.0,False
SGP,GBR,1963.0,False
KEN,GBR,1963.0,False
MYS,GBR,1963.0,False
MWI,GBR,1964.0,False
ZMB,GBR,1964.0,False
MDV,GBR,1965.0,False
GMB,GBR,1965.0,False
BRB,GBR,1966.0,False
BWA,GBR,1966.0,False
GUY,GBR,1966.0,False
LSO,GBR,1966.0,False
YEM,GBR,1967.0,False
MUS,GBR,1968.0,False
GNQ,ESP,1968.0,False
SWZ,GBR,1968.0,False
NRU,GBR,1968.0,False
FJI,GBR,1970.0,False
TON,GBR,1970.0,False
ARE,GBR,1971.0,False
BHR,GBR,1971.0,False
QAT,GBR,1971.0,False
BHS,GBR,1973.0,False
GRD,GBR,1974.0,False
SUR,NLD,1974.0,False
GNB,PRT,1974.0,False
STP,PRT,1975.0,False
COM,FRA,1975.0,False
MOZ,PRT,1975.0,False
CPV,PRT,1975.0,False
AGO,PRT,1975.0,False
MAR,FRA,1956.0,False
TLS,PRT,1975.0,False
SYC,GBR,1976.0,False
DJI,FRA,1977.0,False
DMA,GBR,1978.0,False
SLB,GBR,1978.0,False
LCA,GBR,1979.0,False
VCT,GBR,1979.0,False
KIR,GBR,1979.0,False
TUV,GBR,1979.0,False
ZWE,GBR,1980.0,False
BLZ,GBR,1981.0,False
ATG,GBR,1981.0,False
KNA,GBR,1983.0,False
BRN,GBR,1984.0,False
