,(1) baseline,(2) +migration,(3) x empire,(4) x time,(5) (3) drop bottom 5%,(6) (3) + CFA zone,(7) (3) Africa only,(8) time within empire
overseas_colonial,1.342*** (0.120),0.783*** (0.108),,0.787*** (0.110),,,,
col_GBR,,,0.583*** (0.162),,0.572*** (0.159),0.590*** (0.162),,0.542*** (0.171)
col_FRA,,,0.926*** (0.227),,0.954*** (0.218),0.946*** (0.226),,0.823*** (0.233)
col_ESP,,,0.940*** (0.168),,0.937*** (0.169),0.948*** (0.169),,1.093*** (0.246)
col_OTHEREUR,,,0.861*** (0.276),,0.869*** (0.279),0.870*** (0.277),,0.895*** (0.282)
col_x_decades,,,,-0.007 (0.012),,,,-0.021 (0.017)
sibling45,0.546*** (0.039),0.404*** (0.037),,0.405*** (0.037),,,,0.404*** (0.038)
sib45_GBR,,,0.242*** (0.043),,0.200*** (0.044),0.248*** (0.043),-0.336** (0.134),
sib45_FRA,,,0.752*** (0.067),,0.784*** (0.067),0.572*** (0.070),0.364*** (0.119),
sib45_OTHER,,,2.185*** (0.357),,2.217*** (0.357),2.235*** (0.360),2.040*** (0.410),
cfa_pair,,,,,,0.872*** (0.117),0.413*** (0.115),
settler_link,0.533 (0.633),-0.100 (0.511),-0.129 (0.509),-0.091 (0.512),-0.082 (0.495),-0.123 (0.508),,-0.140 (0.509)
other_dependency,0.141 (0.242),-0.059 (0.218),-0.045 (0.218),-0.058 (0.218),-0.064 (0.212),-0.028 (0.217),0.521 (0.613),-0.060 (0.218)
sibling_pre45,0.162*** (0.053),0.134*** (0.052),0.124** (0.052),0.134*** (0.052),0.116** (0.051),0.138*** (0.052),-0.528*** (0.179),0.135*** (0.052)
log_dist,-1.419*** (0.020),-1.144*** (0.020),-1.148*** (0.020),-1.144*** (0.020),-1.114*** (0.020),-1.140*** (0.020),-0.749*** (0.067),-1.144*** (0.020)
contig,0.450*** (0.105),-0.147 (0.091),-0.183** (0.092),-0.147 (0.091),-0.152* (0.088),-0.204** (0.092),0.436*** (0.145),-0.144 (0.091)
comlang_off,0.974*** (0.049),0.873*** (0.046),0.851*** (0.046),0.873*** (0.046),0.774*** (0.045),0.826*** (0.045),0.741*** (0.089),0.873*** (0.046)
log1p_mig,,0.186*** (0.006),0.185*** (0.006),0.186*** (0.006),0.188*** (0.006),0.183*** (0.006),0.141*** (0.021),0.185*** (0.006)
N (directed),"29,070","29,070","29,070","29,070","27,680","29,070","2,550","29,070"
